Index,ID_x,Drug Name_x,Insurance,Check_x,Quantity,Net,Copay,Covered,Rxcui,Check_y,Title,Drug Name_y,Dosage Form,Strength,Units,Class,NDC,Drug,In Stock,Pack Size,AWP,ACQ,Price Update,Units Qty,Scripts,Drug Full Name,Db Status,ID_y,ClassDb,RxNorm Name,Cleaned Up Drug Name
40,41,FLUOCINOLONEACETOILSCALP,77993322- new,TRUE,118.28,NC,NC,,1191307,TRUE,Inventory Database,FLUOCIN ACET,Oil,0.01,%,Corticosteroid,64980-0330-04,FLUOCIN ACET Oil 0.01%,"1,656",118.28,$220.75 ,$12.73 ,8/29/2024,"2,720",23,FLUOCIN ACET OIL 0.01% SC,SR-DB : Updated on 11/18/2024,288,Corticosteroid,fluocinolone acetonide 0.1 MG/ML Topical Oil,Fluocin Acetate Oil 0.01% Sc
43,42,FLUOCINONIDESOL0.01%,77993322- new,TRUE,60,,,,103456,TRUE,Inventory Database X,FLUOCINONIDE,Cre,0.05,%,High Potency Topical Steroid,12345-6789-01,FLUOCINONIDE Cre 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,78,High Potency Topical Steroid,fluocinonide 0.5 MG/ML Topical Cream,Fluocinonide Cream 0.05%
44,43,BETAMETHDIPLOT0.05%,77993322- new,TRUE,60,12.02,0,,308715,TRUE,Inventory Database X,BETAMETH DIP,Lot,0.05,%,Scalp Topical Steroids,12345-6789-01,BETAMETH DIP Lot 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,55,Scalp Topical Steroids,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Lotion,Betameth Dip Lotion 0.05%
44,43,BETAMETHDIPLOT0.05%,77993322- new,TRUE,60,12.02,0,,238920,TRUE,Inventory Database X,AUG BETAMET,Cre,0.05,%,High Potency Topical Steroid,12345-6789-01,AUG BETAMET Cre 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,74,High Potency Topical Steroid,betamethasone 0.5 MG/ML Topical Cream,Aug Betamet Cream 0.05%
44,43,BETAMETHDIPLOT0.05%,77993322- new,TRUE,60,12.02,0,,308714,TRUE,Inventory Database,CLOTRIM/BETA,Cream,1-0.05,%,Antifungal Combo,16714-0496-02,CLOTRIM/BETA Cream 1-0.05%,180,45,$71.42 ,$3.16 ,4/24/2024,315,4,CLOTRIM/BETA CRE 1-0.05%,SR-DB : Updated on 11/18/2024,253,Antifungal Combo,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Cream,Clotrim/Beta Cream 1-0.05%
49,45,TAZAROTENECRE0.1%,77993322- new,TRUE,30,142.49,0,,313200,TRUE,Inventory Database X,TAZAROTENE,Cre,0.1,%,Retinoids: Exfoliant,12345-6789-01,TAZAROTENE Cre 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,68,Retinoids: Exfoliant,tazarotene 1 MG/ML Topical Cream,Tazarotene Cream 0.1%
50,46,AZELAICACIDGEL15%,77993322- new,TRUE,50,NC,NC,,1041518,TRUE,Inventory Database X,AZELAIC ACID,Gel,15,%,Retinoids: Exfoliant,12345-6789-01,AZELAIC ACID Gel 15%,,,,,,,,,SR-DB : Updated on 11/18/2024,72,Retinoids: Exfoliant,azelaic acid 0.15 MG/MG Topical Gel,Azelaic Acid Gel 15%
51,47,TRETINOINCRE0.025%,77993322- new,TRUE,20,NC,NC,,106302,TRUE,Inventory Database X,TRETINOIN,Cre,0.025,%,Retinoids: Exfoliant,12345-6789-01,TRETINOIN Cre 0.025%,,,,,,,,,SR-DB : Updated on 11/18/2024,69,Retinoids: Exfoliant,tretinoin 0.25 MG/ML Topical Cream,Tretinoin Cream 0.025%
52,49,TRETINOINCRE0.1%,77993322- new,TRUE,20,NC,NC,,198300,TRUE,Inventory Database X,TRETINOIN,Cre,0.1,%,Retinoids: Exfoliant,12345-6789-01,TRETINOIN Cre 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,71,Retinoids: Exfoliant,tretinoin 1 MG/ML Topical Cream,Tretinoin Cream 0.1%
53,50,TRETINOINGEL0.05%,77993322- new,TRUE,45,NC,NC,,245723,TRUE,Inventory Database X,TRETINOIN,Gel,0.05,%,Retinoids: Exfoliant,12345-6789-01,TRETINOIN Gel 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,73,Retinoids: Exfoliant,tretinoin 0.0005 MG/MG Topical Gel,Tretinoin Gel 0.05%
54,51,ADAPALENEGEL0.3%,77993322- new,TRUE,45,NC,NC,,722111,TRUE,Inventory Database X,ADAPALENE,Gel,0.3,%,Retinoids: Exfoliant,12345-6789-01,ADAPALENE Gel 0.3%,,,,,,,,,SR-DB : Updated on 11/18/2024,67,Retinoids: Exfoliant,adapalene 0.003 MG/MG Topical Gel,Adapalene Gel 0.3%
55,52,AMCINONIDECRE0.1%,77993322- new,TRUE,60,NC,NC,,197327,TRUE,Inventory Database,AMCINONIDE,Cream,0.1,%,Medium Potency Steroid,74157-0006-60,AMCINONIDE Cream 0.1%,-120,60,"$2,289.63 ",$710.00 ,8/30/2024,"4,620",43,AMCINONIDE CRE 0.1%,SR-DB : Updated on 11/18/2024,205,Medium Potency Steroid,amcinonide 1 MG/ML Topical Cream,Amcinonide Cream 0.1%
56,53,DIFLORASONEOIN0.05%,77993322- new,TRUE,60,NC,NC,,966607,TRUE,Inventory Database X,DIFLORASONE,Oin,0.05,%,High Potency Topical Steroid,12345-6789-01,DIFLORASONE Oin 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,77,High Potency Topical Steroid,diflorasone diacetate 0.0005 MG/MG Topical Ointment,Diflorasone Oin 0.05%
56,53,DIFLORASONEOIN0.05%,77993322- new,TRUE,60,NC,NC,,966577,TRUE,Inventory Database X,DIFLORASONE,Cre,0.05,%,High Potency Topical Steroid,12345-6789-01,DIFLORASONE Cre 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,76,High Potency Topical Steroid,diflorasone diacetate 0.5 MG/ML Topical Cream,Diflorasone Cream 0.05%
58,55,HALOBETASOLOIN0.05%,77993322- new,TRUE,50,71.35,1.55,,977978,TRUE,Inventory Database X,HALOBETASOL,Oin,0.05,%,High Potency Topical Steroid,12345-6789-01,HALOBETASOL Oin 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,79,High Potency Topical Steroid,halobetasol propionate 0.0005 MG/MG Topical Ointment,Halobetasol Oin 0.05%
58,55,HALOBETASOLOIN0.05%,77993322- new,TRUE,50,71.35,1.55,,861448,TRUE,Inventory Database,CLOBETASOL,Ointment,0.05,%,High Potency Steroid,21922-0017-07,CLOBETASOL Ointment 0.05%,"1,020",60,$498.72 ,$3.95 ,3/20/2024,900,13,CLOBETASOL OIN 0.05%,SR-DB : Updated on 11/18/2024,244,High Potency Steroid,clobetasol propionate 0.0005 MG/MG Topical Ointment,Clobetasol Oin 0.05%
61,59,DESOXIMETASOIN0.05%,77993322- new,TRUE,60,NC,NC,,141850,TRUE,Inventory Database X,DESOXIMETAS,Oin,0.05,%,Medium Potency Topical Steroid,12345-6789-01,DESOXIMETAS Oin 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,80,Medium Potency Topical Steroid,desoximetasone 0.0005 MG/MG Topical Ointment,Desoximetas Oin 0.05%
62,60,HALCINONIDECRE0.1%,77993322- new,TRUE,60,NC,NC,,103467,TRUE,Inventory Database X,HALCINONIDE,Cre,0.1,%,Medium Potency Topical Steroid,12345-6789-01,HALCINONIDE Cre 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,82,Medium Potency Topical Steroid,halcinonide 1 MG/ML Topical Cream,Halcinonide Cream 0.1%
63,61,FLUOCINOLONEACETCRE0.01%,77993322- new,TRUE,60,NC,NC,,1191302,TRUE,Inventory Database,FLUOCIN ACET,Cream,0.01,%,Corticosteroid,00713-0223-60,FLUOCIN ACET Cream 0.01%,180,60,$133.96 ,$62.00 ,5/21/2024,240,2,FLUOCIN ACET CRE 0.01%,SR-DB : Updated on 11/18/2024,287,Corticosteroid,fluocinolone acetonide 0.1 MG/ML Topical Cream,Fluocin Acetate Cream 0.01%
64,62,MOMETASONECRE0.1%45GM,77993322- new,TRUE,45,17.08,0,,311753,TRUE,Inventory Database X,MOMETASONE,Cre,0.1,%,Medium Potency Topical Steroid,12345-6789-01,MOMETASONE Cre 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,85,Medium Potency Topical Steroid,mometasone furoate 1 MG/ML Topical Cream,Mometasone Cream 0.1%
65,63,DESONIDECRE0.05%,77993322- new,TRUE,60,136.43,1.55,,349351,TRUE,Inventory Database X,DESONIDE,Cre,0.05,%,Low Potency Topical Steroid,12345-6789-01,DESONIDE Cre 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,88,Low Potency Topical Steroid,desonide 0.5 MG/ML Topical Cream,Desonide Cream 0.05%
66,64,DESONIDEOIN0.05%,77993322- new,TRUE,60,68.59,1.55,,204135,TRUE,Inventory Database X,DESONIDE,Oin,0.05,%,Low Potency Topical Steroid,12345-6789-01,DESONIDE Oin 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,90,Low Potency Topical Steroid,desonide 0.0005 MG/MG Topical Ointment,Desonide Oin 0.05%
67,65,ALCLOMETASONCRE0.05%,77993322- new,TRUE,45,29.75,1.55,,855474,TRUE,Inventory Database X,ALCLOMETASON,Cre,0.05,%,Low Potency Topical Steroid,12345-6789-01,ALCLOMETASON Cre 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,86,Low Potency Topical Steroid,alclometasone dipropionate 0.5 MG/ML Topical Cream,Alclometason Cream 0.05%
68,66,PIMECROLIMUSCRE1%100GM,77993322- new,TRUE,100,NC,NC,,562806,TRUE,Inventory Database X,PIMECROLIMUS,Cre,1,%,Non-Ster Anti-Inflam,12345-6789-01,PIMECROLIMUS Cre 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,94,Non-Ster Anti-Inflam,pimecrolimus 10 MG/ML Topical Cream,Pimecrolimus Cream 1%
69,67,TACROLIMUSOIN0.1%100GM,77993322- new,TRUE,100,329.55,0,,313189,TRUE,Inventory Database X,TACROLIMUS,Oin,0.03,%,Non-Ster Anti-Inflam,12345-6789-01,TACROLIMUS Oin 0.03%,,,,,,,,,SR-DB : Updated on 11/18/2024,95,Non-Ster Anti-Inflam,tacrolimus 0.0003 MG/MG Topical Ointment,Tacrolimus Oin 0.03%
69,67,TACROLIMUSOIN0.1%100GM,77993322- new,TRUE,100,329.55,0,,314266,TRUE,Inventory Database X,TACROLIMUS,Oin,0.1,%,Non-Ster Anti-Inflam,12345-6789-01,TACROLIMUS Oin 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,96,Non-Ster Anti-Inflam,tacrolimus 0.001 MG/MG Topical Ointment,Tacrolimus Oin 0.1%
71,69,SALICYLIC3%OINT,77993322- new,TRUE,30,NC,NC,,312888,TRUE,Inventory Database X,SALICYLIC,Oint,3,%,Keratolytic,12345-6789-01,SALICYLIC Oint 3%,,,,,,,,,SR-DB : Updated on 11/18/2024,100,Keratolytic,salicylic acid 0.03 MG/MG Topical Ointment,Salicylic Ointment 3%
72,70,CALCIPOTRIENCRE0.005%60GM,77993322- new,TRUE,60,197.11,0,,313921,TRUE,Inventory Database X,CALCIPOTRIEN,Cre,0.005,%,Keratolytic,12345-6789-01,CALCIPOTRIEN Cre 0.005%,,,,,,,,,SR-DB : Updated on 11/18/2024,98,Keratolytic,calcipotriene 0.05 MG/ML Topical Cream,Calcipotrien Cream 0.005%
72,70,CALCIPOTRIENCRE0.005%60GM,77993322- new,TRUE,60,197.11,0,,198373,TRUE,Inventory Database X,CALCIPOTRIEN,Oin,0.005,%,Keratolytic,12345-6789-01,CALCIPOTRIEN Oin 0.005%,,,,,,,,,SR-DB : Updated on 11/18/2024,99,Keratolytic,calcipotriene 0.00005 MG/MG Topical Ointment,Calcipotrien Oin 0.005%
74,72,CALCIPOTRIENBETAMETHOIN,77993322- new,TRUE,60,NC,NC,,393355,TRUE,Inventory Database X,CALCIPOTRIEN BETAMETH,Oin,,,Keratolytic,12345-6789-01,CALCIPOTRIEN BETAMETH Oin,,,,,,,,,SR-DB : Updated on 11/18/2024,101,Keratolytic,betamethasone / calcipotriene Topical Ointment,Calcipotrien Betameth Oin
76,74,NAFTIFINECRE2%,77993322- new,TRUE,60,NC,NC,,1246096,TRUE,Inventory Database X,NAFTIFINE,Cre,2,%,Anti-fungal,12345-6789-01,NAFTIFINE Cre 2%,,,,,,,,,SR-DB : Updated on 11/18/2024,108,Anti-fungal,naftifine hydrochloride 20 MG/ML Topical Cream,Naftifine Cream 2%
77,75,KETOCONAZOLEFOAM2%,77993322- new,TRUE,100,NC,NC,,728550,TRUE,Inventory Database X,KETOCONAZOLE,Foam,2,%,Anti-fungal,12345-6789-01,KETOCONAZOLE Foam 2%,,,,,,,,,SR-DB : Updated on 11/18/2024,107,Anti-fungal,ketoconazole 20 MG/ML Topical Foam,Ketoconazole Foam 2%
78,76,CICLOPIROXCRE0.77%,77993322- new,TRUE,90,26.93,0,,309289,TRUE,Inventory Database X,CICLOPIROX,Cre,0.77,%,Anti-fungal,12345-6789-01,CICLOPIROX Cre 0.77%,,,,,,,,,SR-DB : Updated on 11/18/2024,102,Anti-fungal,ciclopirox 7.7 MG/ML Topical Cream,Ciclopirox Cream 0.77%
80,81,TAVABOROLESOL5%,77993322- new,TRUE,10,NC,NC,,1543177,TRUE,Inventory Database X,TAVABOROLE,Sol,5,%,Anti-fungal Nail,12345-6789-01,TAVABOROLE Sol 5%,,,,,,,,,SR-DB : Updated on 11/18/2024,113,Anti-fungal Nail,tavaborole 43.5 MG/ML Topical Solution,Tavaborole Solution 5%
