Index,ID,Drug,Insurance,Quantity,Net,Copay,Covered,Rxcui,Class,NDC,In Stock,Pack Size,AWP,ACQ,Price Update,Units Qty,Scripts,Db Status,RxNorm Name,Cleaned Up Drug Name
20,24,ZENATANE Capsule 30mg,77993322- new,,,,,1605088,Acne Treatment,55111-0113-81,270,30,$744.86 ,$47.49 ,8/16/2023,540,17,SR-DB : Updated on 11/18/2024,isotretinoin 30 MG Oral Capsule [Zenatane],Zenatane 30 Mg Capsule
22,25,IVERMECTIN Cre 1%,77993322- new,45,NC,NC,,1598068,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ivermectin 10 MG/ML Topical Cream,Ivermectin Cream 1%
23,26,ERY/BENZOYL Gel 5-3%,77993322- new,,,,,244374,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,benzoyl peroxide 0.05 MG/MG / erythromycin 0.03 MG/MG Topical Gel,Ery/Benzoyl Gel 5-3%
24,27,MUPIROCIN Cre 2%,77993322- new,30,NC,NC,,311877,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,mupirocin 20 MG/ML Topical Cream,Mupirocin Cream 2%
24,27,MUPIROCIN Oin 2%,77993322- new,30,NC,NC,,106346,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,mupirocin 0.02 MG/MG Topical Ointment,Mupirocin Oin 2%
26,28,GENTAMICIN Cre 0.1%,77993322- new,30,33.5,1.55,,197735,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,gentamicin 1 MG/ML Topical Cream,Gentamicin Cream 0.1%
26,28,GENTAMICIN Oin 0.1%,77993322- new,30,33.5,1.55,,310465,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,gentamicin 0.001 MG/MG Topical Ointment,Gentamicin Oin 0.1%
28,30,BENZOYL PER Wash 10%,77993322- new,142,NC,NC,,142034,Facewash,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,benzoyl peroxide 100 MG/ML Medicated Liquid Soap,Benzoyl Per Wash 10%
32,34,CICLOPIROX Sha 1%,77993322- new,120,19.33,15.41,,250344,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ciclopirox 10 MG/ML Medicated Shampoo,Ciclopirox Sha 1%
33,35,KETOCONAZOLE Sha 2%,77993322- new,120,6.39,12.98,,203088,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ketoconazole 20 MG/ML Topical Cream,Ketoconazole Sha 2%
34,36,CLOBETASOL Ointment 0.05%,77993322- new,118,NC,NC,,861448,High Potency Steroid,21922-0017-07,"1,020",60,$498.72 ,$3.95 ,3/20/2024,900,13,SR-DB : Updated on 11/18/2024,clobetasol propionate 0.0005 MG/MG Topical Ointment,Clobetasol Oin 0.05%
34,36,CLOBETASOL Sol 0.05%,77993322- new,118,NC,NC,,861487,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clobetasol propionate 0.5 MG/ML Topical Solution,Clobetasol Solution 0.05%
34,36,CLOBETASOL Foam 0.05%,77993322- new,118,NC,NC,,861353,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clobetasol propionate 0.5 MG/ML Topical Foam,Clobetasol Foam 0.05%
34,36,CLOBETASOL Gel 0.05%,77993322- new,118,NC,NC,,861434,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clobetasol propionate 0.0005 MG/MG Topical Gel,Clobetasol Gel 0.05%
38,40,BETAMETH DIP Lot 0.05%,77993322- new,30,27.36,1.55,,308715,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Lotion,Betameth Dip Lotion 0.05%
38,40,CLOTRIM/BETA DIPROP Lotion%,77993322- new,30,27.36,1.55,,377661,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clotrimazole Topical Lotion,Clotrim/Beta Diprop Lotion%
40,41,FLUOCIN ACET Solution 0.01%,77993322- new,118.28,NC,NC,,1191299,Corticosteroid,21922-0003-01,"1,020",60,$187.50 ,$9.19 ,8/29/2024,540,7,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Otic Solution,Fluocin Acetate Solution 0.01%
40,41,FLUOCIN ACET Oil,77993322- new,118.28,NC,NC,,385106,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluocinolone Topical Oil,Fluocin Acetate Oil
40,41,FLUOCIN ACET Oil 0.01%,77993322- new,118.28,NC,NC,,1191307,Corticosteroid,64980-0330-04,"1,656",118.28,$220.75 ,$12.73 ,8/29/2024,"2,720",23,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Topical Oil,Fluocin Acetate Oil 0.01% Sc
43,42,FLUOCINONIDE Cre 0.05%,77993322- new,60,,,,103456,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluocinonide 0.5 MG/ML Topical Cream,Fluocinonide Cream 0.05%
44,43,BETAMETH DIP Lot 0.05%,77993322- new,60,12.02,0,,308715,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Lotion,Betameth Dip Lotion 0.05%
44,43,AUG BETAMET Cre 0.05%,77993322- new,60,12.02,0,,238920,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,betamethasone 0.5 MG/ML Topical Cream,Aug Betamet Cream 0.05%
44,43,CLOTRIM/BETA Cream 1-0.05%,77993322- new,60,12.02,0,,308714,Antifungal Combo,16714-0496-02,180,45,$71.42 ,$3.16 ,4/24/2024,315,4,SR-DB : Updated on 11/18/2024,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Cream,Clotrim/Beta Cream 1-0.05%
49,45,TAZAROTENE Cre 0.1%,77993322- new,30,142.49,0,,313200,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tazarotene 1 MG/ML Topical Cream,Tazarotene Cream 0.1%
50,46,AZELAIC ACID Gel 15%,77993322- new,50,NC,NC,,1041518,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,azelaic acid 0.15 MG/MG Topical Gel,Azelaic Acid Gel 15%
51,47,TRETINOIN Cre 0.025%,77993322- new,20,NC,NC,,106302,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tretinoin 0.25 MG/ML Topical Cream,Tretinoin Cream 0.025%
52,49,TRETINOIN Cre 0.1%,77993322- new,20,NC,NC,,198300,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tretinoin 1 MG/ML Topical Cream,Tretinoin Cream 0.1%
53,50,TRETINOIN Gel 0.05%,77993322- new,45,NC,NC,,245723,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tretinoin 0.0005 MG/MG Topical Gel,Tretinoin Gel 0.05%
54,51,ADAPALENE Gel 0.3%,77993322- new,45,NC,NC,,722111,Retinoids: Exfoliant,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,adapalene 0.003 MG/MG Topical Gel,Adapalene Gel 0.3%
55,52,AMCINONIDE Cream 0.1%,77993322- new,60,NC,NC,,197327,Medium Potency Steroid,74157-0006-60,-120,60,"$2,289.63 ",$710.00 ,8/30/2024,"4,620",43,SR-DB : Updated on 11/18/2024,amcinonide 1 MG/ML Topical Cream,Amcinonide Cream 0.1%
56,53,DIFLORASONE Oin 0.05%,77993322- new,60,NC,NC,,966607,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,diflorasone diacetate 0.0005 MG/MG Topical Ointment,Diflorasone Oin 0.05%
56,53,DIFLORASONE Cre 0.05%,77993322- new,60,NC,NC,,966577,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,diflorasone diacetate 0.5 MG/ML Topical Cream,Diflorasone Cream 0.05%
58,55,HALOBETASOL Oin 0.05%,77993322- new,50,71.35,1.55,,977978,High Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,halobetasol propionate 0.0005 MG/MG Topical Ointment,Halobetasol Oin 0.05%
58,55,CLOBETASOL Ointment 0.05%,77993322- new,50,71.35,1.55,,861448,High Potency Steroid,21922-0017-07,"1,020",60,$498.72 ,$3.95 ,3/20/2024,900,13,SR-DB : Updated on 11/18/2024,clobetasol propionate 0.0005 MG/MG Topical Ointment,Clobetasol Oin 0.05%
61,59,DESOXIMETAS Oin 0.05%,77993322- new,60,NC,NC,,141850,Medium Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,desoximetasone 0.0005 MG/MG Topical Ointment,Desoximetas Oin 0.05%
62,60,HALCINONIDE Cre 0.1%,77993322- new,60,NC,NC,,103467,Medium Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,halcinonide 1 MG/ML Topical Cream,Halcinonide Cream 0.1%
63,61,FLUOCIN ACET Cream 0.01%,77993322- new,60,NC,NC,,1191302,Corticosteroid,00713-0223-60,180,60,$133.96 ,$62.00 ,5/21/2024,240,2,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Topical Cream,Fluocin Acetate Cream 0.01%
64,62,MOMETASONE Cre 0.1%,77993322- new,45,17.08,0,,311753,Medium Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,mometasone furoate 1 MG/ML Topical Cream,Mometasone Cream 0.1%
65,63,DESONIDE Cre 0.05%,77993322- new,60,136.43,1.55,,349351,Low Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,desonide 0.5 MG/ML Topical Cream,Desonide Cream 0.05%
66,64,DESONIDE Oin 0.05%,77993322- new,60,68.59,1.55,,204135,Low Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,desonide 0.0005 MG/MG Topical Ointment,Desonide Oin 0.05%
67,65,ALCLOMETASON Cre 0.05%,77993322- new,45,29.75,1.55,,855474,Low Potency Topical Steroid,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,alclometasone dipropionate 0.5 MG/ML Topical Cream,Alclometason Cream 0.05%
68,66,PIMECROLIMUS Cre 1%,77993322- new,100,NC,NC,,562806,Non-Ster Anti-Inflam,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,pimecrolimus 10 MG/ML Topical Cream,Pimecrolimus Cream 1%
69,67,TACROLIMUS Oin 0.03%,77993322- new,100,329.55,0,,313189,Non-Ster Anti-Inflam,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tacrolimus 0.0003 MG/MG Topical Ointment,Tacrolimus Oin 0.03%
69,67,TACROLIMUS Oin 0.1%,77993322- new,100,329.55,0,,314266,Non-Ster Anti-Inflam,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tacrolimus 0.001 MG/MG Topical Ointment,Tacrolimus Oin 0.1%
71,69,SALICYLIC Oint 3%,77993322- new,30,NC,NC,,312888,Keratolytic,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,salicylic acid 0.03 MG/MG Topical Ointment,Salicylic Ointment 3%
72,70,CALCIPOTRIEN Cre 0.005%,77993322- new,60,197.11,0,,313921,Keratolytic,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,calcipotriene 0.05 MG/ML Topical Cream,Calcipotrien Cream 0.005%
72,70,CALCIPOTRIEN Oin 0.005%,77993322- new,60,197.11,0,,198373,Keratolytic,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,calcipotriene 0.00005 MG/MG Topical Ointment,Calcipotrien Oin 0.005%
74,72,CALCIPOTRIEN BETAMETH Oin,77993322- new,60,NC,NC,,393355,Keratolytic,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,betamethasone / calcipotriene Topical Ointment,Calcipotrien Betameth Oin
76,74,NAFTIFINE Cre 2%,77993322- new,60,NC,NC,,1246096,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,naftifine hydrochloride 20 MG/ML Topical Cream,Naftifine Cream 2%
77,75,KETOCONAZOLE Foam 2%,77993322- new,100,NC,NC,,728550,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ketoconazole 20 MG/ML Topical Foam,Ketoconazole Foam 2%
78,76,CICLOPIROX Cre 0.77%,77993322- new,90,26.93,0,,309289,Anti-fungal,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ciclopirox 7.7 MG/ML Topical Cream,Ciclopirox Cream 0.77%
80,81,TAVABOROLE Sol 5%,77993322- new,10,NC,NC,,1543177,Anti-fungal Nail,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,tavaborole 43.5 MG/ML Topical Solution,Tavaborole Solution 5%
81,82,CICLOPIROX Sol 8%,77993322- new,,,,,309291,Anti-fungal Nail,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ciclopirox 80 MG/ML Topical Solution,Ciclopirox Solution 8%
82,83,TERBINAFINE Tab 250mg,77993322- new,,,,,329055,Anti-fungal Oral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,terbinafine 250 MG,Terbinafine Tablet 250 Mg
83,84,FLUCONAZOLE Tab 100mg,77993322- new,,,,,197698,Anti-fungal Oral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluconazole 100 MG Oral Tablet,Fluconazole Tablet 100 Mg
84,85,FLUCONAZOLE Tab 200mg,77993322- new,,,,,197700,Anti-fungal Oral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluconazole 200 MG Oral Tablet,Fluconazole Tablet 200 Mg
85,86,FLUOROURACIL Cre 5%,77993322- new,40,64.9,0,,105583,Chemo Cream,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,fluorouracil 50 MG/ML Topical Cream,Fluorouracil Cream 5%
86,87,IMIQUIMOD Cre 3.75%,77993322- new,,,,,967017,Chemo Cream,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,imiquimod 37.5 MG/ML Topical Cream,Imiquimod Cream 3.75%
87,88,IMIQUIMOD Cre 5%,77993322- new,24,5.96,0,,310982,Chemo Cream,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,imiquimod 50 MG/ML Topical Cream,Imiquimod Cream 5%
88,89,ACYCLOVIR Oin 5%,77993322- new,30,NC,NC,,197312,Antiviral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,acyclovir 0.05 MG/MG Topical Ointment,Acyclovir Oin 5%
89,90,VALACYCLOVIR Tab 1gm,77993322- new,,,,,313564,Antiviral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,valacyclovir 1000 MG Oral Tablet,Valacyclovir Tablet 1Gm
90,91,VALACYCLOVIR Tab 500mg,77993322- new,,,,,330526,Antiviral,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,valacyclovir 500 MG,Valacyclovir Tablet 500 Mg
91,92,CLEMASTINE Syp N/A ,77993322- new,120,NC,NC,,2578,Antihistamines,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clemastine,Clemastine Syp N/A
92,93,LEVOCETIRIZI Tab 5mg,77993322- new,90,6.43,0,,855172,Antihistamines,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,levocetirizine dihydrochloride 5 MG Oral Tablet,Levocetirizi Tablet 5 Mg
93,94,DICLOFENAC Tab 25mg,77993322- new,120,NC,NC,,2670401,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,diclofenac 25 MG,Diclofenac Tablet 25 Mg
93,94,DICLOFENAC Cap 25mg,77993322- new,120,NC,NC,,858342,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,diclofenac 25 MG Oral Capsule,Diclofenac Capsule 25 Mg
95,95,MELOXICAM Cap 5mg,77993322- new,30,NC,NC,,1722349,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,meloxicam 5 MG Oral Capsule,Meloxicam Capsule 5 Mg
96,96,NAPROXEN Sus 125/5ml,77993322- new,473,NC,NC,,311913,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,naproxen 25 MG/ML Oral Suspension,Naproxen Sus 125/5Ml
97,97,PREDNISONE Tab 20mg,77993322- new,30,2.14,0,,312615,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,prednisone 20 MG Oral Tablet,Prednisone Tablet 20 Mg
98,98,PREDNISONE Tab 5mg,77993322- new,30,1.83,0,,312617,Anti-inflammatory,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,prednisone 5 MG Oral Tablet,Prednisone Tablet 5 Mg
99,99,ERGOT/CAFFEN Tab 1-100mg,77993322- new,30,NC,NC,,91405,Headaches,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,ergot preparation,Ergot/Caffen Tablet 1-100 Mg
100,100,DRYSOL Sol 20%,77993322- new,,,,,206208,Hyperhydrosis,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,aluminum chloride 200 MG/ML Topical Solution [Drysol],Drysol Solution 20%
101,101,FINASTERIDE Tab 1mg,77993322- new,,,,,200172,Hair loss,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,finasteride 1 MG Oral Tablet,Finasteride Tablet 1 Mg
102,102,MINOXIDIL Tab 2.5mg,77993322- new,,,,,197987,Hair loss,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,minoxidil 2.5 MG Oral Tablet,Minoxidil Tablet 2.5 Mg
103,103,HYDROQUINONE Cre 4%,77993322- new,,,,,197795,Bleaching Cream,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydroquinone 40 MG/ML Topical Cream,Hydroquinone Cream 4%
104,104,PERMETHRIN Cre 5%,77993322- new,60,5.87,0,,106387,Scabies,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,permethrin 50 MG/ML Topical Cream,Permethrin Cream 5%
105,106,FOLIC ACID Tab 1mg,77993322- new,30,NC,NC,,310410,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,folic acid 1 MG Oral Tablet,Folic Acid Tablet 1 Mg
106,107,HYDROXYCHLOR Tab 200mg,77993322- new,30,35.26,0,,979092,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydroxychloroquine sulfate 200 MG Oral Tablet,Hydroxychlor Tablet 200 Mg
107,108,HYDROXYZ HCL Tab 10mg,77993322- new,30,NC,NC,,995218,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydroxyzine hydrochloride 10 MG Oral Tablet,Hydroxyz Hcl Tablet 10 Mg
108,109,HYDROXYZ HCL Tab 25mg,77993322- new,30,NC,NC,,995258,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydroxyzine hydrochloride 25 MG Oral Tablet,Hydroxyz Hcl Tablet 25 Mg
109,111,LIDOCORT Cre 3-0.5%,77993322- new,1,NC,NC,,1012235,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML Rectal Cream,Lidocort Cream 3-0.5%
110,112,METHOTREXATE Tab 2.5mg,77993322- new,85,NC,NC,,328407,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,methotrexate 2.5 MG,Methotrexate Tablet 2.5 Mg
111,113,PODOFILOX Sol 0.5%,77993322- new,30,44.44,0,,582926,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,podofilox 5 MG/ML Topical Solution,Podofilox Solution 0.5%
112,114,SPIRONOLACT Tab 50mg,77993322- new,3.5,12.34,0,,198223,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,spironolactone 50 MG Oral Tablet,Spironolact Tablet 50 Mg
113,115,DOXEPIN HCL Cre 5%,77993322- new,30,3.92,0,,1000091,Other,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,doxepin hydrochloride 50 MG/ML Topical Cream,Doxepin Hcl Cream 5%
114,117,DOXYCYC MONO Cap 50mg,77993322- new,45,NC,NC,,1649401,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,doxycycline monohydrate 50 MG Oral Capsule,Doxycycline Monohydrate Capsule 50 Mg
116,119,CLIND/BENZ Gel 1.2-3.75%,77993322- new,50,NC,NC,,1424013,Acne Topical ABX,51672-1403-04,100,50,$694.31 ,$130.00 ,8/29/2024,50,1,SR-DB : Updated on 11/18/2024,benzoyl peroxide 30 MG/ML / salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo [Vital-Benz],Clind/Benz Gel 1.2-3.75
117,120,CLINDAMY/BEN Gel 1-5%,77993322- new,50,NC,NC,,358917,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,benzoyl peroxide 0.05 MG/MG / clindamycin 0.01 MG/MG Topical Gel,Clindamy/Ben Gel 1-5%
118,121,SODIUM SULFA Wash 10%,77993322- new,480,NC,NC,,1006107,Anti-inflammatory,42192-0129-16,"7,680",480,$253.40 ,$35.00 ,10/16/2024,"1,440",3,SR-DB : Updated on 11/18/2024,sulfacetamide sodium 100 MG/ML Medicated Liquid Soap,Sodium Sulfa Liq 10% Wash
118,121,SODIUM SULFA Wash 10%,77993322- new,480,NC,NC,,1101603,Facewash,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,Supra Sulfa,Sodium Sulfa Wash 10%
121,125,BENZOYL PER Wash 10%,77993322- new,,,,,142034,Facewash,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,benzoyl peroxide 100 MG/ML Medicated Liquid Soap,Benzoyl Per Wash 10%
122,127,FLUOCIN ACET Solution 0.01%,77993322- new,,,,,1191299,Corticosteroid,21922-0003-01,"1,020",60,$187.50 ,$9.19 ,8/29/2024,540,7,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Otic Solution,Fluocin Acetate Solution 0.01%
122,127,FLUOCIN ACET Oil 0.01%,77993322- new,,,,,1191307,Corticosteroid,64980-0330-04,"1,656",118.28,$220.75 ,$12.73 ,8/29/2024,"2,720",23,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Topical Oil,Fluocin Acetate Oil 0.01% Sc
122,127,FLUOCIN ACET Cream 0.01%,77993322- new,,,,,1191302,Corticosteroid,00713-0223-60,180,60,$133.96 ,$62.00 ,5/21/2024,240,2,SR-DB : Updated on 11/18/2024,fluocinolone acetonide 0.1 MG/ML Topical Cream,Fluocin Acetate Cream 0.01%
